StockCode,Description,AvgPrice,PriceStd,MinPrice,MaxPrice,TotalQuantitySold,AvgQuantityPerOrder,TotalOrders,TotalRevenue,AvgRevenuePerOrder,UniqueCustomers,CountriesServed,PriceVariability,PopularityScore,RevenuePerCustomer,ProductCategory
16169M,WRAP DAISY CARPET,0.42,0.0,0.42,0.42,635,25.4,25,266.7,10.67,23,3,0.0,0.011488970588235295,11.595652173913043,Low_Performer
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,,0.42,0.42,25,25.0,1,10.5,10.5,1,1,,0.00045955882352941176,10.5,Low_Performer
16169P,WRAP GREEN RUSSIAN FOLKART,0.42,0.0,0.42,0.42,50,25.0,2,21.0,10.5,2,1,0.0,0.0009191176470588235,10.5,Low_Performer
16202A,PASTEL PINK PHOTO ALBUM,0.5,0.0,0.5,0.5,7,3.5,2,3.5,1.75,2,1,0.0,0.0009191176470588235,1.75,Low_Performer
16202B,PASTEL BLUE PHOTO ALBUM,0.5,0.0,0.5,0.5,29,14.5,2,14.5,7.25,2,1,0.0,0.0009191176470588235,7.25,Low_Performer
16202E,BLACK PHOTO ALBUM,0.5,0.0,0.5,0.5,15,5.0,3,7.5,2.5,3,1,0.0,0.0013786764705882354,2.5,Low_Performer
16206B,RED PURSE WITH PINK HEART,1.25,0.0,1.25,1.25,7,3.5,2,8.75,4.38,2,2,0.0,0.0009191176470588235,4.375,Low_Performer
16207A,PINK STRAWBERRY HANDBAG,2.7,0.38,2.08,3.29,62,1.77,35,166.05,4.74,5,1,0.14074074074074072,0.01608455882352941,33.21,Low_Performer
16207B,PINK HEART RED HANDBAG,2.69,0.82,2.08,5.79,31,1.82,17,79.54,4.68,3,1,0.3048327137546468,0.0078125,26.513333333333335,Low_Performer
16216,LETTER SHAPE PENCIL SHARPENER,0.15,0.26,0.06,1.25,3253,73.93,44,229.2,5.21,38,3,1.7333333333333334,0.02022058823529412,6.031578947368421,Low_Performer
16218,CARTOON PENCIL SHARPENERS,0.28,0.57,0.06,2.13,3496,58.27,60,263.81,4.4,41,3,2.035714285714285,0.027573529411764705,6.434390243902439,Low_Performer
16219,HOUSE SHAPE PENCIL SHARPENER,0.51,0.46,0.06,1.7,3015,32.07,94,395.21,4.2,40,6,0.9019607843137255,0.043198529411764705,9.88025,Low_Performer
16225,RATTLE SNAKE EGGS,1.42,0.9,0.39,3.36,612,6.38,96,587.05,6.12,57,2,0.6338028169014085,0.04411764705882353,10.299122807017543,Low_Performer
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.32,0.11,0.16,0.43,2979,18.5,161,675.24,4.19,68,5,0.34375,0.0739889705882353,9.93,Low_Performer
16236,KITTY PENCIL ERASERS,0.31,0.11,0.16,0.43,1406,10.49,134,313.37,2.34,59,6,0.3548387096774194,0.06158088235294118,5.31135593220339,Low_Performer
16237,SLEEPING CAT ERASERS,0.3,0.11,0.16,0.43,4911,17.17,286,1027.13,3.59,107,6,0.3666666666666667,0.13143382352941177,9.599345794392525,Low_Performer
16238,PARTY TIME PENCIL ERASERS,0.31,0.11,0.16,0.43,1365,10.42,131,314.74,2.4,60,6,0.3548387096774194,0.06020220588235294,5.245666666666667,Low_Performer
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.23,1.03,0.5,1.95,7,3.5,2,7.85,3.92,2,1,0.8373983739837398,0.0009191176470588235,3.925,Low_Performer
16248B,UNKNOWN_DESCRIPTION,1.39,0.34,1.25,2.08,12,2.0,6,16.66,2.78,6,1,0.24460431654676262,0.0027573529411764708,2.776666666666667,Low_Performer
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.29,0.4,0.85,1.63,39,2.44,16,40.95,2.56,8,2,0.31007751937984496,0.007352941176470588,5.11875,Low_Performer
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.6,0.24,0.19,0.84,399,7.12,56,156.18,2.79,28,4,0.4,0.025735294117647058,5.577857142857143,Low_Performer
16259,PIECE OF CAMO STATIONERY SET,0.1,0.04,0.08,0.21,3272,109.07,30,317.92,10.6,27,4,0.39999999999999997,0.013786764705882353,11.774814814814816,Low_Performer
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,,0.29,0.29,72,72.0,1,20.88,20.88,1,1,,0.00045955882352941176,20.88,Low_Performer
17003,BROCADE RING PURSE,0.37,0.15,0.16,0.83,21793,94.34,231,5755.08,24.91,134,5,0.4054054054054054,0.10615808823529412,42.94835820895522,Low_Performer
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,0.0,2.1,2.1,24,12.0,2,50.4,25.2,2,1,0.0,0.0009191176470588235,25.2,Low_Performer
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,1.57,1.35,0.65,4.21,81,11.57,7,66.36,9.48,7,2,0.8598726114649682,0.003216911764705882,9.48,Low_Performer
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,1.94,0.78,0.5,2.55,295,4.84,61,345.64,5.67,21,3,0.4020618556701031,0.02803308823529412,16.459047619047617,Low_Performer
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1.89,0.79,0.85,2.55,495,6.04,82,569.09,6.94,33,4,0.417989417989418,0.03768382352941176,17.245151515151516,Low_Performer
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,1.75,0.82,0.5,2.55,417,5.02,83,474.42,5.72,38,3,0.4685714285714285,0.03814338235294118,12.484736842105264,Low_Performer
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,1.85,0.8,0.85,2.55,408,4.39,93,498.97,5.37,34,4,0.43243243243243246,0.042738970588235295,14.675588235294118,Low_Performer
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.32,0.64,0.5,2.55,44,4.4,10,62.64,6.26,4,2,0.2758620689655173,0.004595588235294118,15.66,Low_Performer
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.81,0.81,0.5,2.55,419,4.6,91,501.16,5.51,32,3,0.44751381215469616,0.04181985294117647,15.66125,Low_Performer
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.2,0.96,0.42,3.29,426,42.6,10,219.1,21.91,9,1,0.8,0.004595588235294118,24.344444444444445,Low_Performer
17014A,ORIGAMI VANILLA INCENSE CONES,1.08,1.06,0.42,3.36,166,18.44,9,94.07,10.45,8,2,0.9814814814814815,0.004136029411764706,11.75875,Low_Performer
17021,NAMASTE SWAGAT INCENSE,0.3,0.02,0.24,0.3,2319,46.38,50,615.06,12.3,30,4,0.06666666666666667,0.02297794117647059,20.502,Low_Performer
17028J,INCENSE BAZAAR PEACH,0.42,,0.42,0.42,6,6.0,1,2.52,2.52,1,1,,0.00045955882352941176,2.52,Low_Performer
17038,PORCELAIN BUDAH INCENSE HOLDER,0.42,0.37,0.07,0.85,1424,44.5,32,150.23,4.69,19,3,0.8809523809523809,0.014705882352941176,7.9068421052631574,Low_Performer
17084A,TRANQUILITY MASALA INCENSE,0.21,0.0,0.21,0.21,200,28.57,7,42.0,6.0,7,1,0.0,0.003216911764705882,6.0,Low_Performer
17084J,LOVE POTION MASALA INCENSE,0.21,0.0,0.21,0.21,225,28.12,8,47.25,5.91,8,1,0.0,0.003676470588235294,5.90625,Low_Performer
17084N,FAIRY DREAMS INCENSE,0.35,0.1,0.16,0.43,1205,12.82,94,299.03,3.18,25,3,0.28571428571428575,0.043198529411764705,11.961199999999998,Low_Performer
17084P,DRAGONS BLOOD INCENSE,0.35,0.1,0.21,0.43,421,11.08,38,103.58,2.73,13,3,0.28571428571428575,0.017463235294117647,7.967692307692308,Low_Performer
17084R,ASSORTED INCENSE PACK,0.2,0.02,0.16,0.21,3888,155.52,25,733.68,29.35,16,2,0.09999999999999999,0.011488970588235295,45.855,Low_Performer
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.17,0.17,0.85,1.25,109,10.9,10,107.45,10.74,9,2,0.1452991452991453,0.004595588235294118,11.93888888888889,Low_Performer
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,0.0,1.25,1.25,29,2.23,13,36.25,2.79,6,3,0.0,0.0059742647058823525,6.041666666666667,Low_Performer
17091A,LAVENDER INCENSE IN TIN,0.86,0.55,0.38,2.08,334,12.37,27,441.23,16.34,19,2,0.6395348837209303,0.012408088235294117,23.222631578947368,Low_Performer
17091J,VANILLA INCENSE IN TIN,0.71,0.62,0.38,2.51,2083,21.26,98,920.29,9.39,66,5,0.8732394366197184,0.04503676470588235,13.943787878787878,Low_Performer
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.3,0.11,0.17,0.43,2545,106.04,24,455.98,19.0,13,1,0.3666666666666667,0.011029411764705883,35.075384615384614,Low_Performer
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,0.0,2.55,2.55,168,3.73,45,428.4,9.52,41,3,0.0,0.02068014705882353,10.448780487804877,Low_Performer
17109D,FLOWER FAIRY INCENSE BOUQUET,1.1,0.8,0.38,2.08,75,12.5,6,61.47,10.24,5,1,0.7272727272727273,0.0027573529411764708,12.294,Low_Performer
17129F,BLUE GLASS GEMS IN BAG,1.39,0.4,0.64,1.66,559,10.35,54,533.44,9.88,11,2,0.2877697841726619,0.024816176470588234,48.49454545454546,Low_Performer
17136A,BLUE STONES ON WIRE FOR CANDLE,0.21,0.48,0.08,2.08,361,21.24,17,35.79,2.11,16,3,2.2857142857142856,0.0078125,2.236875,Low_Performer
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,0.0,0.42,0.42,27,3.0,9,11.34,1.26,9,1,0.0,0.004136029411764706,1.26,Low_Performer
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.2,0.39,1.05,2.08,32,4.57,7,42.87,6.12,6,1,0.325,0.003216911764705882,7.145,Low_Performer
17174,ASSTD RASTA KEY-CHAINS,0.42,0.0,0.42,0.42,9,3.0,3,3.78,1.26,3,2,0.0,0.0013786764705882354,1.26,Low_Performer
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,0.0,3.75,3.75,4,2.0,2,15.0,7.5,1,1,0.0,0.0009191176470588235,15.0,Low_Performer
18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,0.27,0.13,0.06,0.43,5859,202.03,29,390.87,13.48,15,3,0.48148148148148145,0.01332720588235294,26.058,Low_Performer
18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.96,0.63,0.85,2.51,179,4.47,40,266.42,6.66,13,3,0.32142857142857145,0.01838235294117647,20.493846153846157,Low_Performer
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,0.0,2.55,2.55,5,1.25,4,12.75,3.19,4,1,0.0,0.001838235294117647,3.1875,Low_Performer
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,3.15,1.11,1.95,5.06,685,10.54,65,1565.51,24.08,42,4,0.3523809523809524,0.029871323529411766,37.27404761904762,Low_Performer
18098C,PORCELAIN BUTTERFLY OIL BURNER,3.55,1.31,2.08,5.91,230,4.34,53,690.28,13.02,25,3,0.36901408450704226,0.024356617647058824,27.6112,Low_Performer
18098c,PORCELAIN BUTTERFLY OIL BURNER,5.06,0.0,5.06,5.06,52,4.33,12,263.12,21.93,1,1,0.0,0.0055147058823529415,263.12,Low_Performer
20615,BLUE POLKADOT PASSPORT COVER,2.54,1.37,0.75,4.21,302,3.28,92,456.84,4.97,27,5,0.5393700787401575,0.042279411764705885,16.919999999999998,Low_Performer
20616,CHERRY BLOSSOM PASSPORT COVER,1.81,1.02,0.75,4.21,186,2.74,68,227.67,3.35,19,3,0.56353591160221,0.03125,11.982631578947368,Low_Performer
20617,FIRST CLASS PASSPORT COVER,2.26,1.01,0.83,4.21,91,2.17,42,190.74,4.54,21,3,0.44690265486725667,0.019301470588235295,9.082857142857144,Low_Performer
20618,QUEEN OF THE SKIES PASSPORT COVER,2.03,0.72,1.63,4.21,147,1.96,75,284.76,3.8,21,3,0.35467980295566504,0.034466911764705885,13.559999999999999,Low_Performer
20619,TROPICAL PASSPORT COVER,2.17,0.98,0.75,4.21,209,2.22,94,395.5,4.21,16,4,0.45161290322580644,0.043198529411764705,24.71875,Low_Performer
20622,VIPPASSPORT COVER,2.41,0.98,0.75,4.21,185,3.63,51,303.7,5.95,25,2,0.40663900414937754,0.0234375,12.148,Low_Performer
20652,BLUE POLKADOT LUGGAGE TAG,1.56,0.67,0.83,2.51,256,3.41,75,328.51,4.38,27,7,0.4294871794871795,0.034466911764705885,12.167037037037037,Low_Performer
20653,CHERRY BLOSSOM LUGGAGE TAG,1.48,0.77,0.83,2.51,64,2.13,30,83.51,2.78,5,3,0.5202702702702703,0.013786764705882353,16.702,Low_Performer
20654,FIRST CLASS LUGGAGE TAG,1.39,0.61,0.83,2.46,148,3.08,48,188.59,3.93,20,4,0.4388489208633094,0.022058823529411766,9.4295,Low_Performer
20655,QUEEN OF SKIES LUGGAGE TAG,1.72,0.71,0.83,2.51,194,2.02,96,287.33,2.99,20,4,0.4127906976744186,0.04411764705882353,14.366499999999998,Low_Performer
20657,TROPICAL LUGGAGE TAG,1.72,0.61,1.06,2.46,73,2.21,33,105.91,3.21,21,1,0.3546511627906977,0.015165441176470588,5.043333333333333,Low_Performer
20658,RED RETROSPOT LUGGAGE TAG,1.75,0.6,1.25,2.51,431,4.1,105,648.35,6.17,44,6,0.34285714285714286,0.04825367647058824,14.735227272727274,Low_Performer
20659,ECONOMY LUGGAGE TAG,1.65,0.71,0.83,2.51,153,2.55,60,240.22,4.0,18,3,0.4303030303030303,0.027573529411764705,13.345555555555556,Low_Performer
20661,BLUE POLKADOT PURSE,3.32,1.45,2.46,5.79,43,1.34,32,135.36,4.23,4,3,0.4367469879518072,0.014705882352941176,33.84,Low_Performer
20662,FIRST CLASS HOLIDAY PURSE,2.92,1.09,2.46,5.79,27,1.59,17,80.04,4.71,4,4,0.37328767123287676,0.0078125,20.01,Low_Performer
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.69,0.74,2.46,5.79,25,1.25,20,66.26,3.31,4,2,0.275092936802974,0.009191176470588236,16.565,Low_Performer
20664,TROPICAL HOLIDAY PURSE,2.5,0.19,2.08,2.95,37,2.18,17,89.56,5.27,3,1,0.076,0.0078125,29.853333333333335,Low_Performer
20665,RED RETROSPOT PURSE,4.01,1.47,2.08,5.91,477,3.12,153,1560.76,10.2,59,6,0.3665835411471322,0.0703125,26.453559322033897,Low_Performer
20666,ECONOMY HOLIDAY PURSE,1.71,0.98,0.83,2.95,30,1.76,17,41.53,2.44,5,2,0.5730994152046783,0.0078125,8.306000000000001,Low_Performer
20667,CHERRY BLOSSOM PURSE,2.49,0.13,2.46,2.95,19,1.27,15,47.23,3.15,2,1,0.05220883534136546,0.006893382352941176,23.615,Low_Performer
20668,DISCO BALL CHRISTMAS DECORATION,0.16,0.11,0.1,0.43,12570,60.72,207,1456.32,7.04,109,5,0.6875,0.09512867647058823,13.360733944954127,Low_Performer
20669,RED HEART LUGGAGE TAG,1.68,0.66,0.83,2.51,301,3.07,98,441.17,4.5,37,4,0.3928571428571429,0.04503676470588235,11.923513513513514,Low_Performer
20670,VIP HOLIDAY PURSE,3.24,1.28,2.46,5.79,14,1.27,11,44.04,4.0,6,1,0.3950617283950617,0.00505514705882353,7.34,Low_Performer
20671,BLUE TEATIME PRINT BOWL,1.25,0.0,1.25,1.25,10,5.0,2,12.5,6.25,2,1,0.0,0.0009191176470588235,6.25,Low_Performer
20674,GREEN POLKADOT BOWL,1.56,0.54,1.06,2.51,1540,7.62,202,1986.27,9.83,102,12,0.34615384615384615,0.09283088235294118,19.473235294117647,Low_Performer
20675,BLUE POLKADOT BOWL,1.58,0.55,1.06,2.51,3044,9.82,310,3878.39,12.51,147,14,0.34810126582278483,0.14246323529411764,26.38360544217687,Low_Performer
20676,RED RETROSPOT BOWL,1.63,0.59,1.06,3.36,4947,11.4,434,6273.38,14.45,180,15,0.3619631901840491,0.19944852941176472,34.852111111111114,Low_Performer
20677,PINK POLKADOT BOWL,1.64,0.6,1.06,3.36,3615,11.19,323,4656.79,14.42,132,15,0.36585365853658536,0.1484375,35.27871212121212,Low_Performer
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,,1.65,1.65,4,4.0,1,6.6,6.6,1,1,,0.00045955882352941176,6.6,Low_Performer
20679,EDWARDIAN PARASOL RED,6.96,2.47,4.6,12.72,1679,5.31,316,9797.91,31.01,138,11,0.3548850574712644,0.14522058823529413,70.99934782608696,Low_Performer
20681,PINK POLKADOT CHILDRENS UMBRELLA,4.17,1.54,3.25,6.77,138,3.07,45,496.94,11.04,29,5,0.3693045563549161,0.02068014705882353,17.135862068965515,Low_Performer
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.99,1.45,2.08,6.77,1152,4.94,233,3912.82,16.79,136,10,0.3634085213032581,0.10707720588235294,28.77073529411765,Low_Performer
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.52,1.03,2.08,6.77,80,2.29,35,269.39,7.7,30,3,0.29261363636363635,0.01608455882352941,8.979666666666667,Low_Performer
20685,DOORMAT RED RETROSPOT,8.94,3.01,2.08,16.98,3755,5.72,656,26074.32,39.75,315,17,0.3366890380313199,0.3014705882352941,82.77561904761905,Low_Performer
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.89,1.34,3.25,6.77,265,3.53,75,916.17,12.22,50,7,0.3444730077120823,0.034466911764705885,18.3234,Low_Performer
